title,imdbid,year,class,Country,Fem Wordcount,Production,Rated,Genre,Writers F,Writers M,Director,imdbRating
Django,tt0060315,1966,F,Italy,0,Rialto Pictures,NOT RATED,Action,0,5,M,7.3
Daikaiju ketto: Gamera tai Barugon,tt0060446,1966,F,Japan,0,N/A,N/A,Action,0,0,M,4.5
Bonnie and Clyde,tt0061418,1967,P,USA,0,Warner Brothers/Seven Arts,R,Action,0,2,M,7.9
Wait Until Dark,tt0062467,1967,P,USA,2,Warner Home Video,NOT RATED,Horror,0,2,M,7.8
Elvira Madigan,tt0061620,1967,F,Sweden,0,Europa Film,PG,Biography,0,1,M,7.5
Asterix the Gaul (Asterix le Gaulois),tt0061369,1967,F,France,0,N/A,N/A,Animation,0,1,M,6.6
Daikaiju kuchusen: Gamera tai Gyaosu,tt0061695,1967,F,Japan,0,N/A,N/A,Action,0,0,M,4.5
Son of Godzilla,tt0061856,1967,F,Japan,0,Sony Pictures Home Entertainment,PG,Action,0,0,M,5.2
Asterix et Cleopatre,tt0062687,1968,F,France,0,N/A,N/A,Animation,0,3,M,7.2
"Producers, The",tt0063462,1968,F,USA,0,AVCO Embassy Pictures,PG,Comedy,0,0,M,7.7
Ice Station Zebra,tt0063121,1968,F,USA,0,MGM Home Entertainment,G,Adventure,0,2,M,6.6
Taiyo no oji: Horusu no daiboken,tt0063668,1968,F,Japan,1,MGM,NOT RATED,Animation,0,0,M,6.7
Head,tt0063049,1968,F,USA,0,Columbia Pictures,G,Comedy,0,1,M,6.6
Where Eagles Dare,tt0065207,1968,P,UK,0,MGM Home Entertainment,PG,Action,0,0,M,7.7
Il giorno della civetta,tt0063010,1968,F,Italy,0,N/A,M,Thriller,0,1,M,7.1
Downhill Racer,tt0064253,1969,F,USA,0,Paramount Pictures,M,Drama,0,1,M,6.5
Chastity,tt0064156,1969,F,USA,0,American International Pictures,R,Drama,0,1,M,5.0
Army of Shadows,tt0064040,1969,F,France,0,Rialto Pictures LLC.,NOT RATED,Drama,0,1,M,8.2
"Godzilla&#39;s Revenge (Godzilla, Minira, Gabara: All Monsters Attack)",tt0064373,1969,F,Japan,0,Sony Pictures Entertainment,G,Action,0,0,M,3.9
"Boys in the Band, The",tt0065488,1970,F,USA,0,Hollywood Classics,R,Drama,0,0,M,7.7
Colossus: The Forbin Project,tt0064177,1970,F,USA,0,MCA Universal Home Video,M,Sci-Fi,0,1,M,7.2
Waterloo,tt0066549,1970,F,Italy,0,Columbia Pictures,G,Action,0,0,M,7.3
Death in Venice,tt0067445,1971,F,Italy,0,WARNER BROTHERS PICTURES,GP,Drama,0,1,M,7.5
Duel,tt0067023,1971,F,USA,0,Universal Pictures,PG,Action,0,2,M,7.7
THX 1138,tt0066434,1971,F,USA,1,Warner Bros. Pictures,R,Drama,0,3,M,6.8
Butterflies Are Free,tt0068326,1972,P,USA,2,Sony Pictures Entertainment,PG,Comedy,0,2,M,7.2
State of Siege,tt0070959,1972,F,France,0,Dieter Geissler Filmproduktion,NOT RATED,Drama,0,2,M,7.9
Lemora: A Child&#39;s Tale Of The Supernatural,tt0070300,1973,P,USA,3,Synapse Films,PG,Fantasy,0,2,M,6.5
Jesus Christ Superstar,tt0070239,1973,F,USA,0,Universal Studios,G,Drama,0,0,M,7.3
Papillon,tt0070511,1973,F,France,0,Twentieth Century Fox Home Entertainment,R,Biography,0,2,M,8.0
Godzilla vs. Megalon,tt0070122,1973,F,Japan,0,Toho Company,NOT RATED,Action,0,0,M,4.6
"Baby, The",tt0069754,1973,P,USA,2,Scotia International,PG,Horror,0,0,M,6.1
Turkish Delight,tt0070842,1973,P,Netherlands,0,Cinemation Industries,R,Drama,0,1,M,7.2
Foxy Brown,tt0071517,1974,P,USA,2,MGM Home Entertainment,R,Action,0,1,M,6.5
Dracula,tt0070003,1974,P,UK,2,N/A,TV-14,Horror,0,1,M,6.4
"Parallax View, The",tt0071970,1974,F,USA,0,Paramount Pictures,R,Drama,0,2,M,7.2
Phantom of the Paradise,tt0071994,1974,F,USA,2,Fox,PG,Comedy,0,1,M,7.4
Dark Star,tt0069945,1974,F,USA,0,Jack H. Harris Enterprises Inc,G,Comedy,0,1,M,6.4
A boy and His Dog,tt0072730,1975,F,USA,0,eRealBiz,R,Comedy,0,0,M,6.6
"Story of O, The",tt0073115,1975,P,France,2,Phaedra Cinema,NC-17,Drama,1,1,M,5.4
Carrie,tt0074285,1976,P,USA,6,United Artists,R,Horror,0,2,M,7.4
"Omen, The",tt0075005,1976,P,UK,0,20th Century Fox,R,Horror,0,1,M,7.6
Sparkle,tt0075249,1976,P,USA,1,Warner Home Video,PG,Drama,0,2,M,7.1
"Many Adventures of Winnie the Pooh, The",tt0076363,1977,F,USA,0,Walt Disney Productions,G,Animation,0,7,M,7.6
Eraserhead,tt0074486,1977,F,USA,0,Libra Films,NOT RATED,Horror,0,1,M,7.4
"36 Crazy Fists, The",tt0076661,1977,F,Hong Kong,0,MoMedia,R,Action,0,0,M,5.3
Damnation Alley,tt0075909,1977,F,USA,0,Twentieth Century Fox,PG,Sci-Fi,0,3,M,5.2
Quel maledetto treno blindato,tt0076584,1978,F,Italy,0,Severin Films,R,Action,1,3,M,6.6
"Shout, The",tt0078259,1978,F,UK,1,RCA/Columbia,R,Horror,0,2,M,6.8
Midnight Express,tt0077928,1978,F,UK,0,Sony Pictures Home Entertainment,R,Biography,0,3,M,7.6
I Spit on Your Grave,tt0077713,1978,F,USA,1,Anchor Bay Entertainment,R,Horror,0,0,M,5.7
"Hound of the Baskervilles, The",tt0076161,1978,P,UK,0,Atlantic Releasing Corporation,NOT RATED,Comedy,0,3,M,4.6
Dawn of the Dead,tt0077402,1978,F,USA,0,United Film Distribution Compa,UNRATED,Horror,0,1,M,8.0
"Black Hole, The",tt0078869,1979,F,USA,0,Walt Disney Productions,PG,Action,0,1,M,5.9
L&#39;hypothese du tableau vole,tt0077707,1979,F,France,0,N/A,N/A,Drama,0,1,M,7.6
Nosferatu the Vampyre,tt0079641,1979,F,West Germany,1,20th Century Fox,PG,Horror,0,0,M,7.6
Cruising,tt0080569,1980,F,West Germany,0,Warner Bros.,R,Crime,0,2,M,6.4
"Blue Lagoon, The",tt0080453,1980,F,USA,0,Sony Pictures Entertainment,R,Adventure,0,2,M,5.7
Heaven&#39;s Gate,tt0080855,1980,F,USA,0,MGM/UA,R,Adventure,0,1,M,6.8
Atlantic City,tt0080388,1980,P,France,1,Paramount Home Video,R,Crime,0,1,M,7.4
"Ninth Configuration, The",tt0081237,1980,F,USA,0,Warner Bros.,R,Comedy,0,2,M,7.2
"Final Countdown, The",tt0080736,1980,F,USA,0,Live Home Video,PG,Action,0,6,M,6.7
Star Wars: Episode V - The Empire Strikes Back,tt0080684,1980,F,USA,0,Twentieth Century Fox,PG,Action,0,2,M,8.8
"King and the Mockingbird, The",tt0079820,1980,F,France,0,Rialto Pictures,NOT RATED,Animation,0,1,M,8.0
Halloween II,tt0082495,1981,P,USA,1,Universal Pictures,R,Horror,0,1,M,6.6
...E tu vivrai nel terrore! L&#39;aldila (The Beyond),tt0082307,1981,P,Italy,2,Rolling Thunder,R,Horror,0,0,M,6.9
"Howling, The",tt0082533,1981,P,USA,0,MGM Home Entertainment,R,Horror,0,2,M,6.6
Escape from New York,tt0082340,1981,F,UK,0,MGM Home Entertainment,R,Action,0,2,M,7.2
Southern Comfort,tt0083111,1981,F,USA,0,20th Century Fox Film Corporation,R,Action,0,3,M,7.2
My Dinner With Andre,tt0082783,1981,F,USA,0,New Yorker Films,PG,Biography,0,1,M,7.8
La fuga de Segovia,tt0082424,1981,F,Spain,0,N/A,N/A,Crime,0,0,M,6.6
Sophie&#39;s Choice,tt0084707,1982,P,UK,0,Twentieth Century Fox Home Entertainment,R,Drama,0,2,M,7.6
Forbidden World,tt0083959,1982,P,USA,0,New World Pictures,R,Horror,0,0,M,5.3
"Thing, The",tt0084787,1982,F,USA,0,Universal Pictures,R,Horror,0,1,M,8.1
"Secret of NIMH, The",tt0084649,1982,P,USA,3,United Artists,G,Animation,0,4,M,7.6
First Blood,tt0083944,1982,F,USA,0,Orion Pictures,R,Action,0,3,M,7.7
Frances,tt0083967,1982,P,USA,2,LionsGate Entertainment,R,Biography,0,3,M,7.4
TRON,tt0084827,1982,F,USA,0,Buena Vista Pictures,PG,Action,0,2,M,6.8
Banana Joe,tt0082045,1982,F,Italy,0,Derby Cinematografica,N/A,Action,0,2,M,6.4
"Ladies and Gentlemen, the Fabulous Stains",tt0082639,1982,P,USA,3,Paramount Pictures,R,Comedy,1,0,M,6.9
Breathless,tt0085276,1983,F,USA,0,Orion Pictures Corporation,R,Action,0,0,M,5.8
Go for It,tt0085601,1983,F,Italy,0,Lionsgate Films,N/A,Action,0,1,M,7.2
Merry Christmas Mr Lawrence,tt0085933,1983,F,UK,0,Image Entertainment,R,Drama,0,1,M,7.3
El Norte,tt0085482,1983,P,UK,0,Criterion Collection,R,Drama,1,1,M,7.7
Silkwood,tt0086312,1983,P,USA,1,20th Century Fox,R,Biography,2,0,M,7.2
Jaws 3-D,tt0085750,1983,P,USA,0,MCA Universal Home Video,PG,Adventure,0,3,M,3.6
Another Country,tt0086904,1984,F,UK,0,Orion Classics,PG,Biography,0,2,M,7.1
Love Streams,tt0087644,1984,P,USA,0,MGM Home Entertainment,PG-13,Drama,0,1,M,7.8
Starman,tt0088172,1984,F,USA,1,Columbia Pictures,PG,Romance,0,1,M,7.0
Beverly Hills Cop,tt0086960,1984,F,USA,0,Paramount Pictures,R,Action,0,2,M,7.3
What Have I Done to Deserve This?,tt0088461,1984,P,Spain,2,N/A,NOT RATED,Comedy,0,1,M,7.2
A Soldier&#39;s Story,tt0088146,1984,F,USA,0,Sony Pictures Home Entertainment,PG,Crime,0,2,M,7.2
Friday the 13th Part IV: The Final Chapter,tt0087298,1984,P,USA,0,Paramount Home Video,R,Horror,0,3,M,6.0
Godzilla 1985,tt0087344,1984,F,Japan,0,Toho Company,PG,Action,1,0,M,6.2
"Silent Night, Deadly Night",tt0088117,1984,P,USA,1,TriStar Pictures,R,Horror,0,2,M,5.9
Enemy Mine,tt0089092,1985,F,USA,0,20th Century Fox,PG-13,Action,0,1,M,6.9
Night on the Galactic Railroad,tt0089206,1985,F,Japan,0,N/A,N/A,Animation,0,0,M,7.2
Angel&#39;s Egg,tt0208502,1985,F,Japan,1,N/A,N/A,Animation,0,0,M,7.7
Fandango,tt0089126,1985,F,USA,0,Warner Home Video,PG,Comedy,0,1,M,6.7
Rambo: First Blood Part II,tt0089880,1985,F,USA,0,TriStar Pictures,R,Action,0,3,M,6.4
Ladyhawke,tt0089457,1985,F,USA,0,20th Century Fox,PG-13,Adventure,0,3,M,7.0
"Transformers: The Movie, The",tt0092106,1986,F,USA,0,De Laurentiis Entertainment Gr,PG,Animation,0,0,M,7.3
"Mission, The",tt0091530,1986,F,UK,0,Warner Home Video,PG,Adventure,0,1,M,7.5
Kin-Dza-Dza,tt0091341,1986,F,Soviet Union,0,N/A,N/A,Comedy,0,0,M,8.2
An American Tail,tt0090633,1986,P,USA,0,Universal Pictures,G,Animation,0,3,M,6.9
Pirates,tt0091757,1986,F,France,0,Cannon Film Distributors,PG-13,Adventure,0,2,M,6.1
Asterix in Britain (Asterix chez les Bretons),tt0090667,1986,F,France,0,Gaumont International,NOT RATED,Animation,0,2,M,7.1
Ruthless People,tt0091877,1986,P,USA,1,Buena Vista Pictures,R,Comedy,0,1,M,6.9
Stand By Me,tt0092005,1986,F,USA,0,MCA Universal Home Video,R,Adventure,0,2,M,8.1
"Name Of The Rose, The",tt0091605,1986,F,Italy,0,Nelson Entertainment,R,Crime,0,2,M,7.8
Swimming to Cambodia,tt0094089,1987,F,USA,0,Cinecom Pictures,R,Comedy,0,0,M,7.7
Raising Arizona,tt0093822,1987,P,USA,0,20th Century Fox,PG-13,Comedy,0,2,M,7.4
Wings of Desire,tt0093191,1987,F,West Germany,0,Criterion Collection,PG-13,Drama,0,1,M,8.1
Evil Dead II,tt0092991,1987,P,USA,0,Rosebud Communications Releasing,R,Comedy,0,2,M,7.8
"Wonderful Wizard of Oz, The",tt0098675,1987,P,Canada,2,Lightyear Entertainment,N/A,Animation,0,0,M,7.7
Predator,tt0093773,1987,F,USA,0,20th Century Fox,R,Action,0,1,M,7.8
Ngati,tt0093615,1987,P,New Zealand,0,Pacific Film,N/A,Drama,0,0,M,7.5
Full Metal Jacket,tt0093058,1987,F,UK,0,Warner Bros.,R,Drama,0,2,M,8.3
Hellraiser,tt0093177,1987,P,UK,2,New World Video,R,Horror,0,0,M,7.0
"Chipmunk Adventure, The",tt0092752,1987,P,USA,0,Lorimar Home Video,G,Animation,0,1,M,7.2
Wong gok ka moon,tt0096461,1988,F,Hong Kong,0,In-Gear Film,NOT RATED,Crime,0,1,M,7.1
Coming to America,tt0094898,1988,P,USA,2,Paramount Pictures,R,Comedy,0,2,M,7.0
Working Girl,tt0096463,1988,P,USA,4,20th Century Fox,R,Comedy,0,1,M,6.8
Killer Klowns from Outer Space,tt0095444,1988,F,USA,0,MGM,PG-13,Comedy,0,2,M,6.1
Gakk&ocirc; no kaidan G,tt0330312,1988,F,Japan,0,N/A,N/A,Horror,0,0,M,7.5
L&#39;etudiante,tt0096523,1988,P,France,3,N/A,NOT RATED,Comedy,0,0,M,5.6
Satisfaction,tt0096037,1988,P,USA,0,Twentieth Century Fox Home Entertainment,PG-13,Comedy,0,1,M,4.8
Poltergeist III,tt0095889,1988,P,USA,2,MGM Home Entertainment,PG-13,Horror,0,2,M,4.6
Scooby-Doo and the Ghoul School,tt0189071,1988,P,USA,0,WARNER BROTHERS PICTURES,NOT RATED,Animation,0,1,M,7.0
They Live,tt0096256,1988,F,USA,0,MCA/Universal Pictures,R,Action,0,2,M,7.3
Rock &#39;n&#39; Roll Mom,tt0096001,1988,P,USA,0,,Unrated,Adventure,0,0,M,5.9
Grave of the Fireflies,tt0095327,1988,F,Japan,0,Shinchosha Company,NOT RATED,Animation,0,0,M,8.5
"Honey, I Shrunk the Kids",tt0097523,1989,P,USA,1,Disney,PG,Adventure,0,1,M,6.3
Shag,tt0098300,1989,P,UK,3,HBO Video,PG,Comedy,0,2,M,6.3
Shirley Valentine,tt0098319,1989,P,UK,4,Paramount Home Video,R,Comedy,0,0,M,7.2
Wild Orchid,tt0100934,1989,P,USA,0,MGM Home Entertainment,R,Drama,1,0,M,4.6
National Lampoon&#39;s Christmas Vacation,tt0097958,1989,P,USA,0,Warner Bros. Pictures,PG-13,Comedy,0,1,M,7.6
Dead Calm,tt0097162,1989,F,Australia,1,Warner Home Video,R,Horror,0,2,M,6.8
Uncle Buck,tt0098554,1989,P,USA,2,MCA Universal Home Video,PG,Comedy,0,1,M,7.0
Nikita,tt0100263,1990,P,France,0,Samuel Goldwyn Films,R,Action,0,0,M,7.4
An Angel at My Table,tt0099040,1990,P,New Zealand,2,Criterion Collection,R,Biography,2,0,F,7.6
"Godfather: Part III, The",tt0099674,1990,P,USA,0,Paramount Pictures,R,Crime,0,2,M,7.6
Dragon Ball Z: Bardock - The Father of Goku,tt0142245,1990,F,Japan,0,N/A,NOT RATED,Animation,1,0,M,8.0
Miller&#39;s Crossing,tt0100150,1990,F,USA,0,20th Century Fox,R,Crime,0,2,M,7.8
Flatliners,tt0099582,1990,P,USA,0,Sony Pictures Home Entertainment,R,Drama,0,1,M,6.6
Qin yong,tt0098147,1990,P,Hong Kong,0,N/A,N/A,Adventure,0,0,M,6.9
Dark Angel (I Come in Peace),tt0099817,1990,F,USA,0,Media Home Entertainment,R,Action,0,2,M,6.1
Mermaids,tt0100140,1990,P,USA,2,Orion Home Video,PG-13,Comedy,1,0,M,6.6
Strangers in Good Company,tt0102993,1990,P,Canada,1,National Film Board of Canada,PG,Drama,2,1,F,7.8
"Nasty Girl (Das schreckliche M&auml;dchen), The",tt0100557,1990,P,West Germany,3,Miramax,PG-13,Comedy,0,1,M,7.4
"Russia House, The",tt0100530,1990,F,USA,0,MGM Home Entertainment,R,Drama,0,1,M,6.1
I Hired a Contract Killer,tt0099818,1990,F,Finland,0,N/A,NOT RATED,Comedy,0,1,M,7.3
Toy Soldiers,tt0103112,1991,F,USA,0,Sony Pictures Home Entertainment,R,Action,0,3,M,6.5
Hudson Hawk,tt0102070,1991,P,USA,0,TriStar Pictures,R,Action,0,4,M,5.8
Life Stinks,tt0102303,1991,F,USA,0,MGM,PG-13,Comedy,0,4,M,5.8
Riff-Raff,tt0100491,1991,F,UK,0,Parallax Pictures,UNRATED,Comedy,0,0,M,7.1
Closet Land,tt0101597,1991,F,USA,1,Media Home Entertainment,R,Drama,0,0,M,7.2
Salmonberries,tt0102829,1991,P,Germany,3,Wolfe Video,R,Drama,0,1,M,6.3
Point Break,tt0102685,1991,F,Japan,0,Twentieth Century Fox Home Entertainment,R,Action,0,0,F,7.2
"Object of Beauty, The",tt0102573,1991,P,UK,0,Live Home Video,R,Comedy,0,1,M,5.7
Defending Your Life,tt0101698,1991,P,USA,0,Warner Home Video,PG,Comedy,0,1,M,7.3
Europa,tt0101829,1991,F,Spain,0,Criterion Collection,R,Drama,0,0,M,7.7
"Linguini Incident, The",tt0102313,1991,P,USA,0,Academy Entertainment,R,Comedy,0,1,M,6.4
Hachi-gatsu no rapusodi,tt0101991,1991,P,Japan,0,N/A,PG,Drama,1,0,F,7.3
JFK,tt0102138,1991,P,France,0,Warner Bros.,R,Drama,0,2,M,8.0
City Slickers,tt0101587,1991,P,USA,0,Columbia Pictures,PG-13,Comedy,0,0,M,6.7
Alien 3,tt0103644,1992,F,USA,3,Twentieth Century Fox Home Entertainment,R,Action,0,5,M,6.4
Baraka,tt0103767,1992,F,USA,0,Magidson Films,NOT RATED,Documentary,1,2,M,8.6
Straight Talk,tt0105481,1992,P,USA,3,Hollywood Pictures,PG,Comedy,1,2,M,5.7
Reservoir Dogs,tt0105236,1992,F,USA,0,Miramax Films,R,Crime,0,3,M,8.3
Glengarry Glen Ross,tt0104348,1992,F,USA,0,Artisan Home Entertainment,R,Crime,0,2,M,7.8
Aladdin,tt0103639,1992,F,USA,1,Buena Vista Distribution Compa,G,Animation,1,13,M,8.0
Split Second,tt0105459,1992,F,UK,0,HBO Video,R,Action,0,1,M,6.2
Dragon Inn,tt0105859,1992,P,Hong Kong,0,Tai Seng,N/A,Action,0,0,M,7.3
Sister Act 2: Back in the Habit,tt0108147,1993,P,USA,0,Buena Vista,PG,Comedy,0,2,M,5.5
Cannibal! The Musical,tt0115819,1993,F,USA,0,Troma,R,Biography,0,1,M,7.2
Indien,tt0107214,1993,F,Austria,0,N/A,N/A,Comedy,0,3,M,7.9
Ruby in Paradise,tt0108000,1993,P,USA,3,October Films,R,Drama,1,1,M,7.1
Demolition Man,tt0106697,1993,F,USA,0,Warner Home Video,R,Action,0,5,M,6.6
"Princess and the Cobbler, The",tt0112389,1993,F,UK,0,Miramax,G,Animation,2,8,M,7.1
What&#39;s Love Got to Do with It,tt0108551,1993,P,USA,2,Touchstone Pictures,R,Biography,1,0,M,7.3
Sonatine,tt0108188,1993,F,Japan,0,Miramax,R,Action,0,0,M,7.6
"Evil Cult, The",tt0108624,1993,P,Hong Kong,0,N/A,N/A,Action,0,1,M,6.4
Searching for Bobby Fischer,tt0108065,1993,F,USA,0,Paramount Home Video,PG,Biography,0,1,M,7.5
"Heroic Trio, The",tt0105619,1993,P,Hong Kong,0,Tai Seng,R,Action,0,1,M,6.6
Batman: Mask of the Phantasm,tt0106364,1993,F,USA,0,WARNER BROTHERS PICTURES,PG,Animation,0,5,M,7.9
Point of No Return/The Assassin,tt0107843,1993,P,USA,1,Warner Home Video,R,Action,1,1,M,6.0
What&#39;s Eating Gilbert Grape,tt0108550,1993,P,USA,1,Paramount Pictures,PG-13,Drama,0,2,M,7.8
Farewell My Concubine,tt0106332,1993,F,China,0,Miramax,R,Drama,0,0,M,8.1
Umi ga kikoeru,tt0108432,1993,P,Japan,1,GKIDS,PG-13,Animation,0,0,M,6.9
Short Cuts,tt0108122,1993,P,USA,0,Fine Line Features,R,Comedy,0,3,M,7.7
Indecent Proposal,tt0107211,1993,F,USA,1,Paramount Home Video,R,Drama,1,1,M,5.9
Reality Bites,tt0110950,1994,P,USA,1,MCA Universal Home Video,PG-13,Comedy,1,0,M,6.6
Oleanna,tt0110722,1994,F,UK,1,Hallmark Entertainment,NOT RATED,Drama,0,2,M,6.7
I.Q.,tt0110099,1994,F,USA,0,Paramount Home Video,PG,Comedy,0,3,M,6.2
Street Fighter,tt0111301,1994,P,Japan,0,MCA Universal Home Video,PG-13,Action,0,1,M,3.9
"Return of Jafar, The",tt0107952,1994,F,USA,0,Buena Vista Pictures,G,Animation,0,6,M,5.9
No Escape,tt0110678,1994,F,USA,0,HBO Video,R,Action,0,3,M,6.1
"Shadow, The",tt0111143,1994,F,USA,0,Universal Pictures,PG-13,Action,0,2,M,6.0
Ed Wood,tt0109707,1994,P,USA,0,Buena Vista Pictures,R,Biography,0,2,M,7.9
"Adventures of Priscilla, Queen of the Desert, The",tt0109045,1994,P,Australia,1,Fox Home Entertainment,R,Comedy,0,0,M,7.5
Death and the Maiden,tt0109579,1994,F,UK,2,Fine Line Features,R,Drama,2,3,M,7.3
Kan du vissla Johanna?,tt0110236,1994,F,Sweden,0,N/A,N/A,Family,0,0,M,6.6
Beverly Hills Cop III,tt0109254,1994,F,USA,0,Paramount Home Video,R,Action,0,2,M,5.5
Before Sunrise,tt0112471,1995,F,USA,1,Sony Pictures Home Entertainment,R,Drama,0,1,M,8.1
Pocahontas,tt0114148,1995,P,USA,1,Buena Vista Distribution Compa,G,Animation,0,15,M,6.7
Dead Presidents,tt0112819,1995,P,USA,0,Hollywood Pictures,R,Action,0,4,M,6.9
Sabrina,tt0114319,1995,P,Germany,1,Paramount,PG,Comedy,1,5,F,6.3
Four rooms,tt0113101,1995,P,USA,0,Miramax Films,R,Comedy,1,2,F,6.7
La Haine,tt0113247,1995,F,France,0,Criterion Collection,NOT RATED,Crime,0,0,M,8.1
Persuasion,tt0114117,1995,P,UK,2,Sony Pictures Home Entertainment,PG,Drama,1,1,M,7.7
"American President, The",tt0112346,1995,P,USA,0,Columbia Pictures,PG-13,Comedy,0,1,M,6.8
"Langoliers, The",tt0112040,1995,P,USA,0,,PG-13,Horror,0,0,M,6.1
K&ocirc;kaku kid&ocirc;tai (Ghost in the Shell),tt0113568,1995,F,Japan,1,Palm Pictures,NOT RATED,Animation,0,0,M,8.0
Tommy Boy,tt0114694,1995,P,USA,0,Paramount Home Video,PG-13,Adventure,0,1,M,7.1
Welcome to the Discworld,tt0313773,1996,F,UK,0,N/A,N/A,Short,0,1,M,7.0
Sabrina the Teenage Witch,tt0117534,1996,P,USA,4,Hallmark Entertainment,PG,Comedy,2,1,M,6.3
"Quest, The",tt0117420,1996,F,USA,0,MCA Universal Home Video,PG-13,Action,0,3,M,5.6
Sonic the Hedgehog: The Movie,tt0237765,1996,F,Japan,0,ADV Films,NOT RATED,Animation,1,1,M,6.6
Hard Eight,tt0119256,1996,F,USA,0,MGM,R,Crime,0,1,M,7.3
Emma,tt0116191,1996,P,UK,1,A&amp;E Television Networks,PG,Comedy,1,1,M,6.7
Fly Away Home,tt0116329,1996,P,USA,1,Columbia TriStar,PG,Adventure,0,1,M,6.8
Waiting for Guffman,tt0118111,1996,P,USA,0,Sony Pictures Classics,R,Comedy,0,2,M,7.6
Big Night,tt0115678,1996,P,USA,0,Samuel Goldwyn Films,R,Drama,0,2,F,7.3
James and the Giant Peach,tt0116683,1996,P,UK,0,Buena Vista Pictures,PG,Animation,0,2,M,6.7
Libertarias,tt0113649,1996,P,Spain,3,N/A,N/A,Drama,0,3,M,7.1
